Engine Oil,,,,,,,,,,,,,
Sl. No.,Brand,Origin Country,Made In:,Grade,Type,Quantity,Buying Price (OMR),Branch Price (OMR),Selling Price (OMR),1 L price,500 ml  price,250ml price,
18,Mopar,,,,,,,,,,,,
,,America,Oman & USA,5W-30 USA,API: SP ILSAC GF-6A (Synthetic),5L,13.000,13.500,15.000,,,,
,,,,5W-30 OMAN,API: SP ILSAC GF-6A,4L,8.500,9.000,10.000,,,,
,,,,5W-20 USA,API: SP ILSAC GF-6A (Synthetic),5L,13.000,13.500,15.000,,,,
,,,,5W-20 OMAN,API: SP ILSAC GF-6A (Synthetic),4L,8.500,9.000,10.000,,,,
19,Nissan,,,,,,,,,,,,
,,Japan,UAE,20W-50,API: SN (Mineral),4L,5.050,5.500,6.000,,,,
,,,,5W-30,API: SP/GF-6 (Fully Synthetic),4L,7.650,8.000,9.000,,,,
20,Optimo (Omanoil),,,,,,,,,,,,
,,Oman,UAE,20W-50,API: SL ,4L,4.000,4.500,5.000,,,,
21,Phillips,,,,,,,,,,,,
,,Oman,UAE,20W-50,API: SL,4L,3.000,3.500,4.000,,,,
,,,,5W-30,API: SN,4L,4.000,5.500,6.000,,,,
,,,,0W-20,API: SN,4L,4.000,6.000,7.000,,,,
22,Senfineco,,,,,,,,,,,,
,,Germany,Germany,20W-50,8907 API: SL PremiumSX (Multigrade),5L,8.670,9.000,9.500,,,,
,,,,10W-40,8927 API: SN ACEA A3/B4 SynthHC (Semi Synthetic) ,5L,9.825,10.500,11.000,,,,
,,,,5W-40,,,9.375,,10.500,,,,
,,,,5W-30,8945 API: SP ILSAC GF-6 SynthPro (Fully Synthetic),5L,9.833,11.000,12.000,,,,
,,,,5W-20,8947 API: SP ILSAC GF-6 SynthPro (Fully Synthetic),5L,9.975,10.500,11.000,,,,
,,,,0W-20,8977 API: SP ILSAC GF-6 SynthUltra (Fully Synthetic),5L,10.625,11.000,13.000,,,,
,,,,0W-16,8980 API: SP ILSAC GF-6 SynthUltra (Fully Synthetic),5L,11.000,12.000,13.000,,,,
23,Servo,,,,,,,,,,,,
,,India,India,5W-30,API: SN ILSAC GF-5(Synthetic),4L,,,,,,,
24,Total,,,,,,,,,,,,
,,,,20W-50,API: SL,4L,4.900,5.000,5.500,,,,
,,,,10W-40,API: SN ACEA A3/B4 (Synthetic),4L,6.500,7.000,8.000,,,,
,,,,5W-30,API: SP ILSAC GF-6A (Fully Synthetic),4L,7.100,8.000,9.000,,,,
25,Veedol,,,,,,,,,,,,
,,United Kingdom,UAE,10W-40,API: SL,4L,6.400,7.000,8.000,,,,
,,,,10W-30,API: SL,4L,6.400,7.000,8.000,,,,
,,,,5W-30,API: SN/ACEA A3/B4 (Fully Synthetic),4L,7.860,8.000,9.000,,,,
,,,,5W-20,API: SN/ACEA A5/B5 (Fully Synthetic),4L,7.860,8.000,9.000,,,,
,,,,0W-20,API: SN/ACEA A5/B5 (Fully Synthetic),4L,8.490,9.000,10.000,,,,
26,ZIC,,,,,,,,,,,,
,,South Korea,South Korea,20W-50,API: SN PLUS (Synthetic),4L,5.000,5.000,5.500,,,,
,,,,15W-40,API: SM (Classic),4L,4.670,5.000,5.000,,,,
,,,,10W-40,API: SP (Fully Synthetic),4L,6.750,8.000,8.500,,,,
,,,,5W-30,API: SP ILSAC GF-6 (Fully Synthetic),4L,8.750,9.000,9.500,,,,
,,,,5W-20,API: SP ILSAC GF-6 (Fully Synthetic),4L,8.750,9.000,9.500,,,,
,,,,0W-20,API: SP ILSAC GF-6 (Fully Synthetic),4L,8.750,9.000,10.000,,,,
27,Zinol,,,,,,,,,,,,
,,France,UAE,20W-50 (5000),API: SL,4L,3.830,4.000,4.500,,,,
,,,,20W-50 (2000),API: SJ (Multigrade),4L,3.000,3.500,4.000,,,,
,,,,5W-30,API: SL (Semi Synthetic),5L,5.000,6.000,6.000,,,,
